Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
420463;Evli Sverige Småbolag;   4433,11; 4433,11;2019-05-13
866715;Fidelity Funds - America Fund;    323,69;  323,63;2019-05-14
795054;Fidelity Funds - Asian Special Situations Fund;    199,29;  199,25;2019-05-14
759225;Fidelity Funds - China Consumer Fund;    229,07;  229,02;2019-05-14
150110;Fidelity Funds - Emerging Asia Fund;    189,04;  189,00;2019-05-14
978452;Fidelity Funds - Emerging Markets Fund;    500,64;  500,55;2019-05-14
942623;Fidelity Funds - European Dynamic Growth Fund;    593,87;  593,76;2019-05-14
906792;Fidelity Funds - Global High Yield Fund;    170,59;  170,55;2019-05-14
390187;FIM Artificiell Intelligens Placeringsfond;    249,31;  249,26;2019-05-13
432153;FIM Brands;    337,91;  337,85;2019-05-13
670091;FIM Emerging Markets ESG;    161,25;  161,23;2019-05-13
191908;FIM Euro;    410,67;  410,60;2019-05-13
755090;FIM Europa;    147,48;  147,46;2019-05-13
324665;FIM Fenno Placeringsfond;   2587,45; 2586,97;2019-05-13
413021;FIM Frontier Placeringsfond;    133,60;  133,58;2019-05-13
360495;FIM USA;    301,69;  301,63;2019-05-13
976928;Folksam LO Sverige;    356,19;  356,19;2019-05-14
941096;Folksam LO Världen;    187,95;  187,95;2019-05-14
202002;Fondita 2000+ Placeringsfond;    886,67;  886,51;2019-05-14
273664;Fondita Equity Spice Placeringsfond;   1659,40; 1659,09;2019-05-14
392308;Fondita European Micro Cap Placeringsfond;   1182,03; 1181,81;2019-05-14
356063;Fondita European Small Cap Placeringsfond;   3650,31; 3649,63;2019-05-14
724633;Fondita European Top Picks B;   1655,66; 1655,35;2019-05-14
785493;Fondita Nordic Micro Cap Placeringsfond;   2908,46; 2907,92;2019-05-14
237834;Fondita Nordic Small Cap Placeringsfond;   1822,76; 1822,43;2019-05-14
666495;Franklin European Growth Fund;    164,62;  164,59;2019-05-13
170894;Franklin India Fund;    339,87;  339,80;2019-05-13
717496;Franklin Mutual Global Discovery Fund;    181,53;  181,49;2019-05-13
384107;Franklin U.S. Opportunities Fund;    168,58;  168,55;2019-05-13
563254;Franklin US Equity Fund;    276,59;  276,53;2019-05-13
201111;GodFond Sverige & Världen;    275,64;  275,64;2019-05-14
929224;Handelsbanken  USA Index Criteria ;    390,78;  390,78;2019-05-14
821736;Handelsbanken Amerika Småbolag Tema;    888,40;  888,40;2019-05-14
840033;Handelsbanken Amerika Tema;   1012,42; 1012,42;2019-05-14
504100;Handelsbanken Asien Tema;    693,77;  693,77;2019-05-14
715664;Handelsbanken EMEA Tema;    420,53;  420,53;2019-05-14
750075;Handelsbanken Emerging Markets Index;    153,31;  153,31;2019-05-14
629543;Handelsbanken Europa Index Criteria ;    123,21;  123,21;2019-05-14
362020;Handelsbanken Europa Tema;    422,23;  422,23;2019-05-14
653501;Handelsbanken Företagsobligation;    130,71;  130,71;2019-05-14
785907;Handelsbanken Global Index Criteria;    282,37;  282,37;2019-05-14
123679;Handelsbanken Global Tema;    527,98;  527,98;2019-05-14
644005;Handelsbanken Hälsovård Tema;    229,18;  229,18;2019-05-14
687509;Handelsbanken Hållbar Energi;    175,25;  175,25;2019-05-14
203182;Handelsbanken Japan Tema;     84,21;   84,21;2019-05-14
617670;Handelsbanken Kinafond;    216,86;  216,86;2019-05-14
718205;Handelsbanken Kortränta;    144,44;  144,44;2019-05-14
